id_animal,especie,idade_meses,ecc,tentativas_previas,indice_genetico_reprodutor,estacao,dias_pos_parto,fazenda,sucesso_prenhez
ANM_00001,Bovino,64,3.1,2,72,Seca,211,Fazenda_B,1
ANM_00002,Caprino,77,2.5,0,98,Seca,231,Fazenda_C,1
ANM_00003,Ovino,54,2.4,2,52,Seca,56,Fazenda_C,0
ANM_00004,Ovino,25,2.7,1,67,Chuva,188,Fazenda_C,0
ANM_00005,Bovino,19,3.0,2,92,Chuva,24,Fazenda_C,1
ANM_00006,Bovino,97,3.5,1,75,Seca,119,Fazenda_D,1
ANM_00007,Bovino,40,2.8,1,55,Chuva,224,Fazenda_B,0
ANM_00008,Caprino,59,2.7,0,93,Seca,199,Fazenda_D,0
ANM_00009,Ovino,54,2.5,0,66,Chuva,36,Fazenda_A,1
ANM_00010,Ovino,13,2.3,0,95,Seca,109,Fazenda_B,1
ANM_00011,Bovino,72,2.2,3,87,Seca,127,Fazenda_B,0
ANM_00012,Caprino,75,3.8,3,91,Chuva,209,Fazenda_D,0
ANM_00013,Caprino,17,2.7,1,97,Chuva,199,Fazenda_A,1
ANM_00014,Bovino,28,2.8,2,99,Chuva,39,Fazenda_C,0
ANM_00015,Bovino,77,2.6,2,76,Chuva,122,Fazenda_A,0
ANM_00016,Bovino,16,2.9,0,69,Seca,116,Fazenda_D,1
ANM_00017,Bovino,82,3.4,1,55,Seca,241,Fazenda_D,0
ANM_00018,Ovino,29,2.8,0,84,Chuva,163,Fazenda_D,1
ANM_00019,Bovino,66,3.2,0,61,Chuva,26,Fazenda_C,1
ANM_00020,Bovino,50,4.1,0,97,Chuva,113,Fazenda_B,1
ANM_00021,Ovino,15,2.5,0,52,Seca,85,Fazenda_A,1
ANM_00022,Bovino,28,2.8,1,97,Chuva,31,Fazenda_A,1
ANM_00023,Bovino,16,3.5,0,53,Seca,190,Fazenda_C,1
ANM_00024,Bovino,106,4.1,2,94,Chuva,59,Fazenda_D,1
ANM_00025,Bovino,83,2.2,0,53,Chuva,20,Fazenda_A,0
ANM_00026,Ovino,23,1.9,0,53,Chuva,77,Fazenda_B,0
